Shape	Color	Value											
Circle	Green	15											
Circle	Green	4											
Circle	Green	1											
Circle	Green	6											
Circle	Green	0											
Circle	Green	3											
Circle	Green	15											
Circle	Green	6											
Circle	Green	35											
Circle	Green	21											
Circle	Green	2											
Circle	Green	28											
Circle	Green	3											
Circle	Green	0											
Circle	Green	18											
Circle	Green	0											
Circle	Green	2											
Circle	Green	2											
Circle	Green	0											
Circle	Green	5											
Circle	Green	0											
Circle	Green	9											
Circle	Green	13											
Circle	Green	0											
Circle	Green	17											
Square	Green	1											
Square	Green	0											
Square	Green	11											
Square	Green	0											
Square	Green	3											
Square	Green	3											
Square	Green	5											
Square	Green	1											
Square	Green	2											
Square	Green	4											
Square	Green	3											
Square	Green	8											
Square	Green	23											
Square	Green	0											
Square	Green	11											
Square	Green	6											
Square	Green	0											
Square	Green	22											
Square	Green	2											
Square	Green	1											
Square	Green	3											 
Square	Green	9											
Square	Green	1											
Square	Green	0											
Square	Green	9											
Rectangle	Green	2											
Rectangle	Green	2											
Rectangle	Green	19											
Rectangle	Green	3											
Rectangle	Green	0											
Rectangle	Green	16											
Rectangle	Green	3											
Rectangle	Green	1											
Rectangle	Green	0											
Rectangle	Green	0											
Rectangle	Green	5											
Rectangle	Green	8											
Rectangle	Green	0											
Rectangle	Green	6											
Rectangle	Green	0											
Rectangle	Green	2											
Rectangle	Green	15											
Rectangle	Green	0											
Rectangle	Green	0											
Rectangle	Green	0											
Rectangle	Green	1											
Rectangle	Green	0											
Rectangle	Green	0											
Rectangle	Green	0											
Rectangle	Green	1											
Circle	Blue	3											
Circle	Blue	3											
Circle	Blue	2											
Circle	Blue	3											
Circle	Blue	0											
Circle	Blue	1											
Circle	Blue	0											
Circle	Blue	1											
Circle	Blue	0											
Circle	Blue	1											
Circle	Blue	2											
Circle	Blue	1											
Circle	Blue	3											
Circle	Blue	4											
Circle	Blue	3											
Circle	Blue	0											
Circle	Blue	5											
Circle	Blue	1											
Circle	Blue	2											
Circle	Blue	2											
Circle	Blue	1											
Circle	Blue	2											
Circle	Blue	0											
Circle	Blue	1											
Circle	Blue	0											
Square	Blue	1											
Square	Blue	2											
Square	Blue	3											
Square	Blue	5											
Square	Blue	1											
Square	Blue	1											
Square	Blue	0											
Square	Blue	2											
Square	Blue	4											
Square	Blue	1											
Square	Blue	0											
Square	Blue	0											
Square	Blue	1											
Square	Blue	1											
Square	Blue	0											
Square	Blue	3											
Square	Blue	2											
Square	Blue	0											
Square	Blue	0											
Square	Blue	0											
Square	Blue	3											
Square	Blue	3											
Square	Blue	1											
Square	Blue	2											
Square	Blue	3											
Rectangle	Blue	1											
Rectangle	Blue	1											
Rectangle	Blue	0											
Rectangle	Blue	2											
Rectangle	Blue	3											
Rectangle	Blue	3											
Rectangle	Blue	0											
Rectangle	Blue	0											
Rectangle	Blue	2											
Rectangle	Blue	3											
Rectangle	Blue	1											
Rectangle	Blue	1											
Rectangle	Blue	0											
Rectangle	Blue	3											
Rectangle	Blue	1											
Rectangle	Blue	3											
Rectangle	Blue	0											
Rectangle	Blue	1											
Rectangle	Blue	1											
Rectangle	Blue	1											
Rectangle	Blue	2											
Rectangle	Blue	1											
