Seeds	Weight	Time	Distance					
6	0.936	0.43	41					
1	0.293	1.73	170					
6	0.737	0.83	52					
6	0.661	0.98	73					
1	0.202	1.52	92					
1	0.333	1.32	66					
2	0.166	1.17	90					
2	0.405	0.98	94					
3	0.411	0.70	95					
6	0.802	1.16	160					
3	0.479	1.30	80					
5	0.553	0.97	105					
2	0.398	0.90	103					
1	0.179	0.72	104					
2	0.149	1.66	91					
3	0.614	0.88	84					
1	0.081	1.75	300					
5	0.639	0.79	85					
3	0.13	0.94	100					
3	0.378	0.88	85					
1	0.172	1.08	32.7					
1	0.291	0.79	83.6					
3	0.145	1.22	80.8					
1	0.244	0.82	84					
1	0.202	0.70	0.3					
10	0.333	0.76	55					
6	0.702	1.13	97.6					
2	0.045	1.05	84					
2	0.47	0.68	118					
1	0.065	1.63	10.2					
2	0.367	0.56	20.9					
2	0.097	1.01	137.8					
2	0.067	1.11	150					
3	0.446	0.63	46.8					
5	0.584	0.80	89.4					
3	0.124	0.63	88.2					
5	0.534	0.86	24.9					
5	0.483	0.60	47.2					
3	0.132	0.69	15.9					
1	0.044	1.00	63					
4	0.2	1.46	72					
1	0.06	1.05	32					
1	0.13	0.92	20					
3	0.68	1.16	50					
2	0.08	1.13	63.2					
3	0.13	1.29	180					
1	0.07	1.10	25					
1	0.15	1.15	83					
5	0.08	1.39	56					
4	0.2	0.92	51					
4	0.36	1.13	45					
1	0.19	1.27	161					
1	0.24	1.10	22					
1	0.23	1.83	60					
3	0.6	1.08	42					
2	0.33	0.79	24.3					
4	0.15	1.03	32					
2	0.45	0.73	25					
1	0.07	2.03	123					
4	0.17	1.18	13					
4	0.2	0.80	72					
1	0.07	1.40	80					
1	0.13	1.80	71					
3	0.12	0.90	45					
2	0.08	1.60	71					
3	0.12	1.30	32					
3	0.14	0.80	15					
3	0.11	1.10	29					
3	0.04	1.00	1					
4	0.19	1.20	59					
4	0.35	1.00	35					
1	0.18	1.50	50					
1	0.07	1.10	51					
2	0.12	1.90	134					
1	0.07	2.20	291					
2	0.07	1.20	77					
2	0.1	1.20	92					
2	0.09	1.70	110					
1	0.07	2.80	138					
1	0.04	1.90	110					
								
